"subj_idx","response","rt","stim","block","block_number","trial_z","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
76,1,525,"incongruent","most_incon",3,0.48713508937879,-1.9047619047619,23,0.213849730692075,0.503,-1.98807157057654,"incongruent_most_incon"
76,1,516,"incongruent","most_incon",3,0.508785537795625,-1.93798449612403,24,0.299389622968906,0.525,-1.9047619047619,"incongruent_most_incon"
76,1,442,"incongruent","most_incon",3,0.53043598621246,-2.26244343891403,25,0.384929515245736,0.516,-1.93798449612403,"incongruent_most_incon"
76,1,391,"incongruent","most_incon",3,0.552086434629295,-2.55754475703325,26,0.470469407522566,0.442,-2.26244343891403,"incongruent_most_incon"
76,1,413,"incongruent","most_incon",3,0.57373688304613,-2.42130750605327,27,0.556009299799396,0.391,-2.55754475703325,"incongruent_most_incon"
76,1,475,"incongruent","most_incon",3,0.595387331462966,-2.10526315789474,28,0.641549192076226,0.413,-2.42130750605327,"incongruent_most_incon"
76,1,433,"incongruent","most_incon",3,0.617037779879801,-2.3094688221709,29,0.727089084353056,0.475,-2.10526315789474,"incongruent_most_incon"
76,1,391,"congruent","most_incon",3,0.638688228296636,-2.55754475703325,30,0.812628976629887,0.433,-2.3094688221709,"congruent"
76,1,365,"congruent","most_incon",3,0.660338676713471,-2.73972602739726,31,0.898168868906717,0.391,-2.55754475703325,"congruent"
76,1,378,"incongruent","most_incon",3,0.681989125130306,-2.64550264550265,32,0.983708761183547,0.365,-2.73972602739726,"incongruent_most_incon"
76,1,393,"congruent","most_incon",3,0.703639573547141,-2.54452926208651,33,1.06924865346038,0.378,-2.64550264550265,"congruent"
76,1,382,"incongruent","most_incon",3,0.725290021963976,-2.61780104712042,34,1.15478854573721,0.393,-2.54452926208651,"incongruent_most_incon"
76,0,412,"incongruent","most_incon",3,0.746940470380811,-2.42718446601942,35,1.24032843801404,0.382,-2.61780104712042,"incongruent_most_incon"
76,1,395,"congruent","most_incon",3,0.768590918797647,-2.53164556962025,36,1.32586833029087,0.412,-2.42718446601942,"congruent"
76,1,369,"congruent","most_incon",3,0.790241367214482,-2.710027100271,37,1.4114082225677,0.395,-2.53164556962025,"congruent"
76,1,358,"incongruent","most_incon",3,0.811891815631317,-2.79329608938547,38,1.49694811484453,0.369,-2.710027100271,"incongruent_most_incon"
76,1,668,"incongruent","most_incon",3,0.833542264048152,-1.49700598802395,39,1.58248800712136,0.358,-2.79329608938547,"incongruent_most_incon"
76,1,394,"incongruent","most_incon",3,0.855192712464987,-2.53807106598985,40,1.66802789939819,0.668,-1.49700598802395,"incongruent_most_incon"
76,1,352,"congruent","most_con",4,0.876843160881822,-2.84090909090909,1,-1.66802789939819,NA,NA,"congruent"
76,1,437,"incongruent","most_con",4,0.898493609298657,-2.2883295194508,2,-1.58248800712136,0.352,-2.84090909090909,"incongruent_most_con"
76,1,364,"congruent","most_con",4,0.920144057715492,-2.74725274725275,3,-1.49694811484453,0.437,-2.2883295194508,"congruent"
76,1,506,"incongruent","most_con",4,0.941794506132327,-1.97628458498024,4,-1.4114082225677,0.364,-2.74725274725275,"incongruent_most_con"
