"subj_idx","response","rt","stim","cond","trial_z","trial","rt_log_trim_grp","prev_rt"
84,1,0.727,"negative_familiar","conflict",0.54978867574494,48,2.86153441085904,1.199
84,1,1.101,"negative_unfamiliar","no_conflict",0.597895184872623,49,3.04178731897175,0.727
84,1,0.854,"positive","no_conflict",0.646001694000305,50,2.931457870689,1.101
84,1,0.789,"positive","no_conflict",0.694108203127987,51,2.89707700320942,0.854
84,1,1.07,"negative_highly_familiar","conflict",0.74221471225567,52,3.02938377768521,0.789
84,1,0.903,"negative_familiar","conflict",0.790321221383352,53,2.95568775031351,1.07
84,0,1.143,"positive","no_conflict",0.838427730511034,54,3.05804623039528,0.903
84,0,0.727,"positive","no_conflict",0.886534239638716,55,2.86153441085904,1.143
84,1,0.728,"negative_rc","conflict",0.934640748766399,56,2.86213137931304,0.727
84,1,0.992,"positive","no_conflict",0.982747257894081,57,2.99651167215418,0.728
84,1,0.856,"negative_rc","conflict",1.03085376702176,58,2.93247376467715,0.992
84,1,0.841,"positive","no_conflict",1.07896027614945,59,2.92479599579791,0.856
84,1,1.241,"negative_highly_familiar","conflict",1.12706678527713,60,3.09377178149873,0.841
84,1,0.594,"positive","no_conflict",1.17517329440481,61,2.77378644498119,1.241
84,1,0.994,"negative_highly_familiar","conflict",1.22327980353249,62,2.99738638439731,0.594
84,1,1.146,"negative_familiar","conflict",1.27138631266017,63,3.05918461763137,0.994
84,1,0.659,"positive","no_conflict",1.31949282178786,64,2.81888541459401,1.146
84,1,1.172,"negative_unfamiliar","no_conflict",1.36759933091554,65,3.06892761168207,0.659
84,1,1.139,"positive","no_conflict",1.41570584004322,66,3.0565237240791,1.172
84,1,0.58,"negative_rc","conflict",1.4638123491709,67,2.76342799356294,1.139
84,1,0.549,"positive","no_conflict",1.51191885829859,68,2.73957234445009,0.58
84,1,0.957,"positive","no_conflict",1.56002536742627,69,2.98091193777684,0.549
84,1,0.765,"negative_familiar","conflict",1.60813187655395,70,2.88366143515362,0.957
84,1,0.958,"negative_unfamiliar","no_conflict",1.65623838568163,71,2.98136550907854,0.765
84,1,1.166,"positive","no_conflict",1.70434489480932,72,3.066698550423,0.958
86,1,0.968,"negative_unfamiliar","no_conflict",-1.71121725325613,1,2.98587535730839,0.592
86,1,0.881,"positive","no_conflict",-1.66311074412844,2,2.94497590841205,0.968
86,1,0.584,"negative_rc","conflict",-1.61500423500076,3,2.7664128471124,0.881
86,1,0.793,"positive","no_conflict",-1.56689772587308,4,2.8992731873176,0.584
86,1,0.706,"negative_highly_familiar","conflict",-1.5187912167454,5,2.8488047010518,0.793
86,1,0.617,"positive","no_conflict",-1.47068470761772,6,2.79028516403324,0.706
86,1,0.682,"negative_familiar","conflict",-1.42257819849003,7,2.83378437465648,0.617
86,1,0.707,"positive","no_conflict",-1.37447168936235,8,2.8494194137969,0.682
86,1,0.731,"positive","no_conflict",-1.32636518023467,9,2.86391737695786,0.707
86,1,0.539,"negative_rc","conflict",-1.27825867110699,10,2.73158876518674,0.731
86,0,0.788,"negative_familiar","conflict",-1.2301521619793,11,2.89652621748956,0.539
86,1,0.628,"positive","no_conflict",-1.18204565285162,12,2.7979596437372,0.788
86,1,0.589,"positive","no_conflict",-1.13393914372394,13,2.7701152947871,0.628
86,1,0.637,"negative_rc","conflict",-1.08583263459626,14,2.80413943233535,0.589
86,1,0.597,"negative_highly_familiar","conflict",-1.03772612546857,15,2.77597433112937,0.637
86,1,0.622,"positive","no_conflict",-0.989619616340893,16,2.79379038469082,0.597
86,1,0.663,"positive","no_conflict",-0.94151310721321,17,2.82151352840477,0.622
86,1,0.646,"negative_unfamiliar","no_conflict",-0.893406598085528,18,2.81023251799508,0.663
86,1,0.687,"positive","no_conflict",-0.845300088957846,19,2.83695673705955,0.646
86,1,0.615,"negative_highly_familiar","conflict",-0.797193579830163,20,2.78887511577542,0.687
86,1,0.575,"positive","no_conflict",-0.749087070702481,21,2.75966784468963,0.615
86,1,0.936,"negative_familiar","conflict",-0.700980561574799,22,2.97127584873811,0.575
86,1,0.744,"negative_unfamiliar","no_conflict",-0.652874052447117,23,2.87157293554588,0.936
86,1,0.617,"positive","no_conflict",-0.604767543319434,24,2.79028516403324,0.744
86,1,1.025,"negative_highly_familiar","conflict",-0.556661034191752,25,3.01072386539177,0.617
86,1,0.777,"positive","no_conflict",-0.50855452506407,26,2.89042101880091,1.025
86,1,0.722,"negative_familiar","conflict",-0.460448015936387,27,2.85853719756964,0.777
86,1,1.171,"positive","no_conflict",-0.412341506808705,28,3.06855689507236,0.722
86,1,0.602,"positive","no_conflict",-0.364234997681023,29,2.77959649125782,1.171
86,1,0.603,"negative_rc","conflict",-0.316128488553341,30,2.78031731214015,0.602
86,1,0.604,"positive","no_conflict",-0.268021979425658,31,2.78103693862113,0.603
86,1,0.643,"negative_highly_familiar","conflict",-0.219915470297976,32,2.80821097292422,0.604
86,1,0.444,"positive","no_conflict",-0.171808961170294,33,2.64738297011462,0.643
86,1,0.573,"negative_unfamiliar","no_conflict",-0.123702452042611,34,2.75815462196739,0.444
86,1,0.781,"positive","no_conflict",-0.0755959429149292,35,2.8926510338773,0.573
86,1,0.661,"negative_unfamiliar","no_conflict",-0.0274894337872469,36,2.82020145948564,0.781
86,1,0.622,"positive","no_conflict",0.0206170753404354,37,2.79379038469082,0.661
86,1,0.798,"negative_rc","conflict",0.0687235844681176,38,2.90200289135073,0.622
86,1,0.607,"negative_highly_familiar","conflict",0.1168300935958,39,2.78318869107526,0.798
86,1,0.631,"positive","no_conflict",0.164936602723482,40,2.80002935924413,0.607
86,1,0.486,"positive","no_conflict",0.213043111851164,41,2.68663626926229,0.631
86,1,0.752,"negative_familiar","conflict",0.261149620978847,42,2.87621784059164,0.486
86,1,0.641,"negative_unfamiliar","no_conflict",0.309256130106529,43,2.80685802951882,0.752
