"subj_idx","response","rt","stim","block","block_number","trial_z","trial","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
15,1,443,"congruent","most_con",4,1.26655123238485,139,-2.25733634311512,19,-0.128309838415245,0.437,-2.2883295194508,"congruent"
15,1,457,"incongruent","most_con",4,1.28820168080169,140,-2.18818380743982,20,-0.0427699461384151,0.443,-2.25733634311512,"incongruent_most_con"
15,1,471,"congruent","most_con",4,1.30985212921852,141,-2.12314225053079,21,0.0427699461384151,0.457,-2.18818380743982,"congruent"
15,1,485,"incongruent","most_con",4,1.33150257763536,142,-2.06185567010309,22,0.128309838415245,0.471,-2.12314225053079,"incongruent_most_con"
15,1,467,"incongruent","most_con",4,1.35315302605219,143,-2.14132762312634,23,0.213849730692075,0.485,-2.06185567010309,"incongruent_most_con"
15,1,415,"congruent","most_con",4,1.37480347446903,144,-2.40963855421687,24,0.299389622968906,0.467,-2.14132762312634,"congruent"
15,1,477,"incongruent","most_con",4,1.39645392288586,145,-2.09643605870021,25,0.384929515245736,0.415,-2.40963855421687,"incongruent_most_con"
15,1,539,"incongruent","most_con",4,1.4181043713027,146,-1.85528756957328,26,0.470469407522566,0.477,-2.09643605870021,"incongruent_most_con"
15,1,433,"congruent","most_con",4,1.43975481971953,147,-2.3094688221709,27,0.556009299799396,0.539,-1.85528756957328,"congruent"
15,1,407,"congruent","most_con",4,1.46140526813637,148,-2.45700245700246,28,0.641549192076226,0.433,-2.3094688221709,"congruent"
15,1,628,"congruent","most_con",4,1.48305571655321,149,-1.59235668789809,29,0.727089084353056,0.407,-2.45700245700246,"congruent"
15,1,410,"congruent","most_con",4,1.50470616497004,150,-2.4390243902439,30,0.812628976629887,0.628,-1.59235668789809,"congruent"
15,1,431,"congruent","most_con",4,1.52635661338688,151,-2.32018561484919,31,0.898168868906717,0.41,-2.4390243902439,"congruent"
15,1,461,"incongruent","most_con",4,1.54800706180371,152,-2.16919739696312,32,0.983708761183547,0.431,-2.32018561484919,"incongruent_most_con"
15,1,483,"congruent","most_con",4,1.56965751022055,153,-2.0703933747412,33,1.06924865346038,0.461,-2.16919739696312,"congruent"
15,1,544,"incongruent","most_con",4,1.59130795863738,154,-1.83823529411765,34,1.15478854573721,0.483,-2.0703933747412,"incongruent_most_con"
15,1,502,"congruent","most_con",4,1.61295840705422,155,-1.99203187250996,35,1.24032843801404,0.544,-1.83823529411765,"congruent"
15,1,412,"congruent","most_con",4,1.63460885547105,156,-2.42718446601942,36,1.32586833029087,0.502,-1.99203187250996,"congruent"
15,1,402,"congruent","most_con",4,1.65625930388789,157,-2.48756218905473,37,1.4114082225677,0.412,-2.42718446601942,"congruent"
15,1,391,"congruent","most_con",4,1.67790975230472,158,-2.55754475703325,38,1.49694811484453,0.402,-2.48756218905473,"congruent"
15,1,429,"congruent","most_con",4,1.69956020072156,159,-2.33100233100233,39,1.58248800712136,0.391,-2.55754475703325,"congruent"
15,1,426,"congruent","most_con",4,1.72121064913839,160,-2.34741784037559,40,1.66802789939819,0.429,-2.33100233100233,"congruent"
16,1,470,"congruent","most_con",1,-1.72121064913839,1,-2.12765957446809,1,-1.66802789939819,NA,NA,"congruent"
16,1,347,"congruent","most_con",1,-1.69956020072156,2,-2.88184438040346,2,-1.58248800712136,0.47,-2.12765957446809,"congruent"
16,1,329,"congruent","most_con",1,-1.67790975230472,3,-3.03951367781155,3,-1.49694811484453,0.347,-2.88184438040346,"congruent"
16,1,454,"incongruent","most_con",1,-1.65625930388789,4,-2.20264317180617,4,-1.4114082225677,0.329,-3.03951367781155,"incongruent_most_con"
16,1,428,"congruent","most_con",1,-1.63460885547105,5,-2.33644859813084,5,-1.32586833029087,0.454,-2.20264317180617,"congruent"
16,1,450,"congruent","most_con",1,-1.61295840705422,6,-2.22222222222222,6,-1.24032843801404,0.428,-2.33644859813084,"congruent"
16,1,456,"congruent","most_con",1,-1.59130795863738,7,-2.19298245614035,7,-1.15478854573721,0.45,-2.22222222222222,"congruent"
16,1,398,"congruent","most_con",1,-1.56965751022055,8,-2.51256281407035,8,-1.06924865346038,0.456,-2.19298245614035,"congruent"
16,1,435,"incongruent","most_con",1,-1.54800706180371,9,-2.29885057471264,9,-0.983708761183547,0.398,-2.51256281407035,"incongruent_most_con"
