subj_idx,response,rt,cond,stim,trial_z,rt_log_trim_grp,prev_rt,prev_rt_z,prev_error,id,since_nogo,since_nogo_z,block_trial_z,DISINH,ANTAG
1,1,416,SevenGo,Go,-0.180420169,2.619093331,2.5289167,-0.809616302,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,398,SevenGo,Go,-0.165986556,2.599883072,2.619093331,0.269731337,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,1,0,SevenGo,NoGo,-0.151552942,0,2.599883072,0.039798736,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,342,FiveGo,Go,-0.137119329,2.534026106,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,292,FiveGo,Go,-0.122685715,2.465382851,2.534026106,-0.74846049,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,330,FiveGo,Go,-0.108252102,2.51851394,2.465382851,-1.570069532,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,279,FiveGo,Go,-0.093818488,2.445604203,2.51851394,-0.934129658,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,293,FiveGo,Go,-0.079384874,2.46686762,2.445604203,-1.806805337,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,0,339,FiveGo,NoGo,-0.064951261,2.530199698,2.46686762,-1.552297945,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,375,ThreeGo,Go,-0.050517647,2.574031268,2.530199698,-0.794259765,1,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,348,ThreeGo,Go,-0.036084034,2.541579244,2.574031268,-0.269628262,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,490,ThreeGo,Go,-0.02165042,2.69019608,2.541579244,-0.65805501,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,0,ThreeGo,NoGo,-0.007216807,0,2.69019608,1.120778714,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,259,OneGo,Go,0.007216807,2.413299764,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,0,256,OneGo,NoGo,0.02165042,2.408239965,2.413299764,-2.193465607,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,379,ThreeGo,Go,0.036084034,2.57863921,2.408239965,-2.254027659,1,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,505,ThreeGo,Go,0.050517647,2.703291378,2.57863921,-0.214474598,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,416,ThreeGo,Go,0.064951261,2.619093331,2.703291378,1.277519757,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,0,ThreeGo,NoGo,0.079384874,0,2.619093331,0.269731337,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,496,SevenGo,Go,0.093818488,2.695481676,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,334,SevenGo,Go,0.108252102,2.523746467,2.695481676,1.184043399,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,316,SevenGo,Go,0.122685715,2.499687083,2.523746467,-0.871500177,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,337,SevenGo,Go,0.137119329,2.527629901,2.499687083,-1.15947323,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,359,SevenGo,Go,0.151552942,2.555094449,2.527629901,-0.82501834,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,317,SevenGo,Go,0.165986556,2.501059262,2.555094449,-0.496287996,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,347,SevenGo,Go,0.180420169,2.540329475,2.501059262,-1.143049254,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,1,0,SevenGo,NoGo,0.194853783,0,2.540329475,-0.673013823,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,284,FiveGo,Go,0.209287396,2.45331834,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
