"subj_idx","response","rt","cond","stim","stim_cond","trial_z","rt_log_trim_grp","prev_rt","block_trial"
47,1,324,"OneGo","Go","Go_OneGo",-1.37841009254602,2.51054501020661,0.389,3
47,0,336,"OneGo","NoGo","NoGo_OneGo",-1.3639764790115,2.52633927738984,0.425,4
47,1,306,"SevenGo","Go","Go_SevenGo",-1.34954286547699,2.48572142648158,0.437,9
47,1,526,"SevenGo","Go","Go_SevenGo",-1.33510925194248,2.72098574415374,0,10
47,1,354,"SevenGo","Go","Go_SevenGo",-1.32067563840796,2.54900326202579,0.379,11
47,1,325,"SevenGo","Go","Go_SevenGo",-1.30624202487345,2.51188336097887,0.295,12
47,1,321,"SevenGo","Go","Go_SevenGo",-1.29180841133894,2.50650503240487,0.322,13
47,1,492,"SevenGo","Go","Go_SevenGo",-1.27737479780442,2.69196510276736,0,14
47,1,344,"SevenGo","Go","Go_SevenGo",-1.26294118426991,2.53655844257153,0.25,15
47,1,0,"SevenGo","NoGo","NoGo_SevenGo",-1.2485075707354,0,0.372,16
47,1,359,"FiveGo","Go","Go_FiveGo",-1.23407395720088,2.55509444857832,0.352,7
47,1,293,"FiveGo","Go","Go_FiveGo",-1.20520673013186,2.46686762035411,0.303,9
47,0,0,"FiveGo","Go","Go_FiveGo",-1.19077311659734,0,0.322,10
47,1,333,"FiveGo","Go","Go_FiveGo",-1.17633950306283,2.52244423350632,0.614,11
47,1,0,"FiveGo","NoGo","NoGo_FiveGo",-1.16190588952832,0,0,12
47,1,323,"ThreeGo","Go","Go_ThreeGo",-1.1474722759938,2.5092025223311,0.445,9
47,1,278,"ThreeGo","Go","Go_ThreeGo",-1.13303866245929,2.44404479591808,0.281,10
47,1,394,"ThreeGo","Go","Go_ThreeGo",-1.11860504892478,2.59549622182557,0.283,11
47,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-1.10417143539027,0,0.319,12
47,1,376,"FiveGo","Go","Go_FiveGo",-1.08973782185575,2.57518784492766,0.299,13
47,1,300,"FiveGo","Go","Go_FiveGo",-1.07530420832124,2.47712125471966,0.342,14
47,1,336,"FiveGo","Go","Go_FiveGo",-1.06087059478673,2.52633927738984,0.393,15
47,0,0,"FiveGo","Go","Go_FiveGo",-1.04643698125221,0,0,16
47,1,334,"FiveGo","Go","Go_FiveGo",-1.0320033677177,2.52374646681156,0.376,17
47,1,0,"FiveGo","NoGo","NoGo_FiveGo",-1.01756975418319,0,0.324,18
47,1,285,"SevenGo","Go","Go_SevenGo",-1.00313614064867,2.45484486000851,0.303,17
47,1,385,"SevenGo","Go","Go_SevenGo",-0.988702527114159,2.5854607295085,0.314,18
47,1,308,"SevenGo","Go","Go_SevenGo",-0.974268913579646,2.48855071650044,0.334,19
47,1,335,"SevenGo","Go","Go_SevenGo",-0.959835300045133,2.52504480703685,0.33,20
47,1,299,"SevenGo","Go","Go_SevenGo",-0.945401686510619,2.47567118832443,0.396,21
47,1,247,"SevenGo","Go","Go_SevenGo",-0.930968072976106,2.39269695325967,0,22
47,0,0,"SevenGo","Go","Go_SevenGo",-0.916534459441593,0,0.332,23
47,1,0,"SevenGo","NoGo","NoGo_SevenGo",-0.902100845907079,0,0.415,24
47,1,273,"OneGo","Go","Go_OneGo",-0.887667232372566,2.43616264704076,0.387,5
47,0,260,"OneGo","NoGo","NoGo_OneGo",-0.873233618838053,2.41497334797082,0,6
47,1,296,"OneGo","Go","Go_OneGo",-0.85880000530354,2.47129171105894,0.281,7
47,1,0,"OneGo","NoGo","NoGo_OneGo",-0.844366391769026,0,0,8
47,1,294,"FiveGo","Go","Go_FiveGo",-0.829932778234513,2.46834733041216,0.433,19
47,1,438,"FiveGo","Go","Go_FiveGo",-0.801065551165487,2.6414741105041,0.335,21
47,1,384,"FiveGo","Go","Go_FiveGo",-0.786631937630973,2.58433122436753,0.291,22
47,1,364,"FiveGo","Go","Go_FiveGo",-0.77219832409646,2.56110138364906,0.35,23
47,1,0,"FiveGo","NoGo","NoGo_FiveGo",-0.757764710561947,0,0,24
47,1,499,"ThreeGo","Go","Go_ThreeGo",-0.743331097027433,2.69810054562339,0.349,13
47,1,439,"ThreeGo","Go","Go_ThreeGo",-0.72889748349292,2.64246452024212,0.296,14
47,1,378,"ThreeGo","Go","Go_ThreeGo",-0.714463869958407,2.57749179983723,0.3,15
47,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-0.700030256423894,0,0.28,16
47,1,433,"SevenGo","Go","Go_SevenGo",-0.68559664288938,2.63648789635337,0.458,25
47,1,405,"SevenGo","Go","Go_SevenGo",-0.671163029354867,2.60745502321467,0.43,26
47,1,351,"SevenGo","Go","Go_SevenGo",-0.656729415820354,2.54530711646582,0.498,27
47,1,275,"SevenGo","Go","Go_SevenGo",-0.64229580228584,2.43933269383026,0.549,28
47,1,375,"SevenGo","Go","Go_SevenGo",-0.627862188751327,2.57403126772772,0.328,29
47,1,322,"SevenGo","Go","Go_SevenGo",-0.613428575216814,2.50785587169583,0.276,30
47,1,325,"SevenGo","Go","Go_SevenGo",-0.598994961682301,2.51188336097887,0.439,31
47,1,0,"SevenGo","NoGo","NoGo_SevenGo",-0.584561348147787,0,0,32
47,1,314,"SevenGo","Go","Go_SevenGo",-0.555694121078761,2.49692964807321,0,34
47,1,300,"SevenGo","Go","Go_SevenGo",-0.541260507544248,2.47712125471966,0.348,35
47,1,296,"SevenGo","Go","Go_SevenGo",-0.526826894009734,2.47129171105894,0.295,36
47,1,292,"SevenGo","Go","Go_SevenGo",-0.512393280475221,2.46538285144842,0.339,37
47,1,303,"SevenGo","Go","Go_SevenGo",-0.497959666940708,2.4814426285023,0.39,38
47,1,347,"SevenGo","Go","Go_SevenGo",-0.483526053406195,2.54032947479087,0.337,39
47,0,334,"SevenGo","NoGo","NoGo_SevenGo",-0.469092439871681,2.52374646681156,0.349,40
47,1,345,"ThreeGo","Go","Go_ThreeGo",-0.454658826337168,2.53781909507327,0.265,17
47,1,285,"ThreeGo","Go","Go_ThreeGo",-0.440225212802655,2.45484486000851,0.276,18
47,1,273,"ThreeGo","Go","Go_ThreeGo",-0.425791599268141,2.43616264704076,0.312,19
47,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-0.411357985733628,0,0.307,20
47,1,255,"FiveGo","Go","Go_FiveGo",-0.396924372199115,2.40654018043396,0.31,25
47,1,267,"FiveGo","Go","Go_FiveGo",-0.382490758664602,2.42651126136458,0,26
47,1,350,"FiveGo","Go","Go_FiveGo",-0.368057145130088,2.54406804435028,0.294,27
47,1,281,"FiveGo","Go","Go_FiveGo",-0.353623531595575,2.44870631990508,0.344,28
47,1,301,"FiveGo","Go","Go_FiveGo",-0.339189918061062,2.47856649559384,0.292,29
47,0,464,"FiveGo","NoGo","NoGo_FiveGo",-0.324756304526549,2.66651798055488,0.352,30
47,1,244,"OneGo","Go","Go_OneGo",-0.310322690992035,2.38738982633873,0.331,9
47,0,352,"OneGo","NoGo","NoGo_OneGo",-0.295889077457522,2.54654266347813,0,10
47,1,306,"SevenGo","Go","Go_SevenGo",-0.281455463923009,2.48572142648158,0.274,41
47,1,310,"SevenGo","Go","Go_SevenGo",-0.267021850388496,2.49136169383427,0,42
47,1,330,"SevenGo","Go","Go_SevenGo",-0.252588236853982,2.51851393987789,0.417,43
47,1,389,"SevenGo","Go","Go_SevenGo",-0.238154623319469,2.58994960132571,0.388,44
47,1,408,"SevenGo","Go","Go_SevenGo",-0.223721009784956,2.61066016308988,0.375,45
47,1,476,"SevenGo","Go","Go_SevenGo",-0.209287396250442,2.67760695272049,0,46
47,1,375,"SevenGo","Go","Go_SevenGo",-0.194853782715929,2.57403126772772,0.391,47
47,1,0,"SevenGo","NoGo","NoGo_SevenGo",-0.180420169181416,0,0.354,48
47,1,398,"FiveGo","Go","Go_FiveGo",-0.165986555646903,2.59988307207369,0.389,31
47,1,417,"FiveGo","Go","Go_FiveGo",-0.151552942112389,2.62013605497376,0.401,32
47,1,437,"FiveGo","Go","Go_FiveGo",-0.137119328577876,2.64048143697042,0.388,33
47,1,377,"FiveGo","Go","Go_FiveGo",-0.122685715043363,2.57634135020579,0,34
47,1,0,"FiveGo","NoGo","NoGo_FiveGo",-0.0938184879743363,0,0.278,36
47,1,395,"OneGo","Go","Go_OneGo",-0.079384874439823,2.59659709562646,0.386,11
47,1,0,"OneGo","NoGo","NoGo_OneGo",-0.0649512609053097,0,0.31,12
47,1,554,"ThreeGo","Go","Go_ThreeGo",-0.0505176473707964,2.74350976472843,0.377,21
47,1,520,"ThreeGo","Go","Go_ThreeGo",-0.0216504203017699,2.7160033436348,0.336,23
47,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-0.00721680676725664,0,0,24
47,1,336,"ThreeGo","Go","Go_ThreeGo",0.00721680676725664,2.52633927738984,0.303,25
47,1,474,"ThreeGo","Go","Go_ThreeGo",0.0216504203017699,2.67577834167409,0.386,26
47,1,358,"ThreeGo","Go","Go_ThreeGo",0.0360840338362832,2.55388302664387,0.404,27
47,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",0.0505176473707964,0,0.329,28
47,1,325,"FiveGo","Go","Go_FiveGo",0.0649512609053097,2.51188336097887,0.349,37
47,1,409,"FiveGo","Go","Go_FiveGo",0.079384874439823,2.61172330800734,0,38
47,1,348,"FiveGo","Go","Go_FiveGo",0.0938184879743363,2.54157924394658,0.323,39
47,1,319,"FiveGo","Go","Go_FiveGo",0.10825210150885,2.50379068305718,0,40
47,1,315,"FiveGo","Go","Go_FiveGo",0.122685715043363,2.4983105537896,0.298,41
47,1,0,"FiveGo","NoGo","NoGo_FiveGo",0.137119328577876,0,0.317,42
47,1,497,"OneGo","Go","Go_OneGo",0.151552942112389,2.69635638873333,0.449,13
47,1,0,"OneGo","NoGo","NoGo_OneGo",0.165986555646903,0,0.5,14
47,1,425,"SevenGo","Go","Go_SevenGo",0.180420169181416,2.62838893005031,0.336,49
47,1,420,"SevenGo","Go","Go_SevenGo",0.194853782715929,2.6232492903979,0.364,50
47,1,399,"SevenGo","Go","Go_SevenGo",0.209287396250442,2.60097289568675,0.39,51
47,1,339,"SevenGo","Go","Go_SevenGo",0.223721009784956,2.53019969820308,0,52
47,1,534,"SevenGo","Go","Go_SevenGo",0.238154623319469,2.72754125702856,0.422,53
47,1,390,"SevenGo","Go","Go_SevenGo",0.267021850388496,2.5910646070265,0.38,55
47,1,0,"SevenGo","NoGo","NoGo_SevenGo",0.281455463923009,0,0,56
47,1,420,"SevenGo","Go","Go_SevenGo",0.295889077457522,2.6232492903979,0.315,57
47,1,400,"SevenGo","Go","Go_SevenGo",0.310322690992035,2.60205999132796,0.367,58
47,1,499,"SevenGo","Go","Go_SevenGo",0.324756304526549,2.69810054562339,0.33,59
47,1,430,"SevenGo","Go","Go_SevenGo",0.339189918061062,2.63346845557959,0.269,60
47,1,418,"SevenGo","Go","Go_SevenGo",0.353623531595575,2.62117628177504,0.273,61
47,1,205,"SevenGo","Go","Go_SevenGo",0.368057145130088,2.31175386105575,0.285,62
47,1,353,"SevenGo","Go","Go_SevenGo",0.382490758664602,2.54777470538782,0.304,63
47,0,340,"SevenGo","NoGo","NoGo_SevenGo",0.396924372199115,2.53147891704225,0.275,64
47,1,567,"OneGo","Go","Go_OneGo",0.411357985733628,2.75358305889291,0.351,15
47,0,411,"OneGo","NoGo","NoGo_OneGo",0.425791599268141,2.61384182187607,0.346,16
47,1,303,"ThreeGo","Go","Go_ThreeGo",0.440225212802655,2.4814426285023,0.342,29
47,1,354,"ThreeGo","Go","Go_ThreeGo",0.454658826337168,2.54900326202579,0.361,30
47,1,381,"ThreeGo","Go","Go_ThreeGo",0.469092439871681,2.58092497567562,0.332,31
47,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",0.483526053406195,0,0,32
47,1,284,"FiveGo","Go","Go_FiveGo",0.497959666940708,2.45331834004704,0.347,43
47,1,376,"FiveGo","Go","Go_FiveGo",0.512393280475221,2.57518784492766,0.335,44
47,1,307,"FiveGo","Go","Go_FiveGo",0.526826894009734,2.48713837547719,0.386,45
47,1,542,"FiveGo","Go","Go_FiveGo",0.541260507544248,2.73399928653839,0,46
47,1,434,"FiveGo","Go","Go_FiveGo",0.555694121078761,2.63748972951251,0.329,47
47,0,526,"FiveGo","NoGo","NoGo_FiveGo",0.570127734613274,2.72098574415374,0.285,48
47,1,299,"FiveGo","Go","Go_FiveGo",0.598994961682301,2.47567118832443,0.299,50
47,1,407,"FiveGo","Go","Go_FiveGo",0.613428575216814,2.60959440922522,0.35,51
47,1,322,"FiveGo","Go","Go_FiveGo",0.627862188751327,2.50785587169583,0,52
47,1,341,"FiveGo","Go","Go_FiveGo",0.64229580228584,2.5327543789925,0.294,53
47,1,0,"FiveGo","NoGo","NoGo_FiveGo",0.656729415820354,0,0.304,54
47,1,517,"SevenGo","Go","Go_SevenGo",0.671163029354867,2.71349054309394,0.3,65
47,1,319,"SevenGo","Go","Go_SevenGo",0.68559664288938,2.50379068305718,0.384,66
47,1,331,"SevenGo","Go","Go_SevenGo",0.700030256423894,2.51982799377572,0.371,67
47,1,359,"SevenGo","Go","Go_SevenGo",0.714463869958407,2.55509444857832,0,68
47,1,346,"SevenGo","Go","Go_SevenGo",0.72889748349292,2.53907609879278,0.306,69
47,1,438,"SevenGo","Go","Go_SevenGo",0.743331097027433,2.6414741105041,0.309,70
47,1,401,"SevenGo","Go","Go_SevenGo",0.757764710561947,2.60314437262018,0.313,71
47,0,444,"SevenGo","NoGo","NoGo_SevenGo",0.77219832409646,2.64738297011462,0.325,72
47,1,408,"OneGo","Go","Go_OneGo",0.786631937630973,2.61066016308988,0.335,17
47,1,0,"OneGo","NoGo","NoGo_OneGo",0.801065551165487,0,0.419,18
47,1,390,"ThreeGo","Go","Go_ThreeGo",0.8154991647,2.5910646070265,0.287,33
47,1,410,"ThreeGo","Go","Go_ThreeGo",0.829932778234513,2.61278385671974,0.33,34
47,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",0.85880000530354,0,0,36
47,1,301,"FiveGo","Go","Go_FiveGo",0.873233618838053,2.47856649559384,0.3,55
47,1,360,"FiveGo","Go","Go_FiveGo",0.887667232372566,2.55630250076729,0.312,56
