"subj_idx","response","rt","stim","cond","trial_z","rt_log_trim_grp","prev_rt"
2,1,756,"negative_familiar","conflict",0.357362639234211,2.87852179550121,0.765
2,1,827,"negative_unfamiliar","no_conflict",0.405469148361894,2.91750550955255,0.756
2,1,674,"positive","no_conflict",0.453575657489576,2.82865989653532,0.827
2,1,721,"positive","no_conflict",0.501682166617258,2.85793526471943,0.674
2,1,944,"negative_rc","conflict",0.54978867574494,2.97497199429807,0.721
2,1,1087,"positive","no_conflict",0.597895184872623,3.03622954408629,0.944
2,1,927,"negative_familiar","conflict",0.646001694000305,2.9670797341445,1.087
2,1,825,"negative_unfamiliar","no_conflict",0.694108203127987,2.91645394854993,0.927
2,1,936,"positive","no_conflict",0.74221471225567,2.97127584873811,0.825
2,1,976,"positive","no_conflict",0.790321221383352,2.98944981766669,0.936
2,1,911,"negative_highly_familiar","conflict",0.838427730511034,2.959518376973,0.976
2,1,1158,"negative_familiar","conflict",0.886534239638716,3.06370855939142,0.911
2,1,821,"positive","no_conflict",0.934640748766399,2.91434315711944,1.158
2,0,764,"positive","no_conflict",0.982747257894081,2.88309335857569,0.821
2,1,1059,"negative_rc","conflict",1.03085376702176,3.02489596010748,0.764
2,1,842,"positive","no_conflict",1.07896027614945,2.92531209149965,1.059
2,1,1354,"negative_rc","conflict",1.12706678527713,3.13161866434913,0.842
2,0,1321,"positive","no_conflict",1.17517329440481,3.12090281761453,1.354
2,1,720,"negative_highly_familiar","conflict",1.22327980353249,2.85733249643127,1.321
2,1,767,"positive","no_conflict",1.27138631266017,2.88479536394898,0.72
2,1,1086,"negative_highly_familiar","conflict",1.31949282178786,3.03582982525283,0.767
2,1,1541,"negative_familiar","conflict",1.36759933091554,3.18780263871842,1.086
2,1,980,"positive","no_conflict",1.41570584004322,2.99122607569249,1.541
2,1,755,"negative_unfamiliar","no_conflict",1.4638123491709,2.87794695162919,0.98
2,1,1003,"positive","no_conflict",1.51191885829859,3.00130093302042,0.755
2,1,986,"negative_rc","conflict",1.56002536742627,2.99387691494121,1.003
2,0,1705,"positive","no_conflict",1.60813187655395,3.23172438332852,0.986
2,1,848,"positive","no_conflict",1.65623838568163,2.92839585225671,1.705
2,1,1047,"negative_familiar","conflict",1.70434489480932,3.01994668167884,0.848
2,1,998,"negative_unfamiliar","no_conflict",1.752451403937,2.99913054128737,1.047
2,1,1069,"positive","no_conflict",1.80055791306468,3.02897770520878,0.998
3,1,404,"negative_unfamiliar","no_conflict",-1.61500423500076,2.60638136511061,1.069
3,1,387,"positive","no_conflict",-1.56689772587308,2.58771096501891,0.404
3,1,482,"negative_rc","conflict",-1.5187912167454,2.68304703823885,0.387
3,1,465,"positive","no_conflict",-1.47068470761772,2.66745295288995,0.482
3,1,392,"negative_highly_familiar","conflict",-1.42257819849003,2.59328606702046,0.465
3,1,431,"positive","no_conflict",-1.37447168936235,2.63447727016073,0.392
3,1,486,"negative_familiar","conflict",-1.32636518023467,2.68663626926229,0.431
3,0,430,"positive","no_conflict",-1.27825867110699,2.63346845557959,0.486
3,1,517,"positive","no_conflict",-1.2301521619793,2.71349054309394,0.43
3,1,692,"negative_rc","conflict",-1.18204565285162,2.84010609445676,0.517
3,1,555,"negative_familiar","conflict",-1.13393914372394,2.74429298312268,0.692
3,1,458,"positive","no_conflict",-1.08583263459626,2.66086547800387,0.555
3,1,529,"positive","no_conflict",-1.03772612546857,2.72345567203519,0.458
3,1,552,"negative_rc","conflict",-0.989619616340893,2.7419390777292,0.529
3,1,479,"negative_highly_familiar","conflict",-0.94151310721321,2.68033551341456,0.552
3,0,551,"positive","no_conflict",-0.893406598085528,2.74115159885178,0.479
3,1,598,"positive","no_conflict",-0.845300088957846,2.77670118398841,0.551
3,1,565,"negative_unfamiliar","no_conflict",-0.797193579830163,2.75204844781944,0.598
3,1,604,"positive","no_conflict",-0.749087070702481,2.78103693862113,0.565
3,1,467,"negative_highly_familiar","conflict",-0.700980561574799,2.66931688056611,0.604
3,1,650,"positive","no_conflict",-0.652874052447117,2.81291335664286,0.467
3,1,649,"negative_familiar","conflict",-0.604767543319434,2.81224469680037,0.65
3,1,801,"negative_unfamiliar","no_conflict",-0.556661034191752,2.90363251608424,0.649
3,1,640,"positive","no_conflict",-0.50855452506407,2.80617997398389,0.801
3,1,927,"negative_highly_familiar","conflict",-0.460448015936387,2.9670797341445,0.64
3,1,502,"positive","no_conflict",-0.412341506808705,2.70070371714502,0.927
3,1,557,"negative_familiar","conflict",-0.364234997681023,2.74585519517373,0.502
3,1,660,"positive","no_conflict",-0.316128488553341,2.81954393554187,0.557
3,1,515,"positive","no_conflict",-0.268021979425658,2.71180722904119,0.66
3,1,722,"negative_rc","conflict",-0.219915470297976,2.85853719756964,0.515
3,1,866,"positive","no_conflict",-0.171808961170294,2.93751789201735,0.722
3,0,489,"negative_highly_familiar","conflict",-0.123702452042611,2.68930885912362,0.866
3,1,528,"positive","no_conflict",-0.0755959429149292,2.72263392253381,0.489
3,1,575,"negative_unfamiliar","no_conflict",-0.0274894337872469,2.75966784468963,0.528
3,1,742,"positive","no_conflict",0.0206170753404354,2.87040390527903,0.575
3,1,437,"negative_unfamiliar","no_conflict",0.0687235844681176,2.64048143697042,0.742
3,1,524,"positive","no_conflict",0.1168300935958,2.71933128698373,0.437
3,1,547,"negative_rc","conflict",0.164936602723482,2.73798732633343,0.524
3,1,723,"negative_highly_familiar","conflict",0.213043111851164,2.85913829729453,0.547
3,1,498,"positive","no_conflict",0.261149620978847,2.69722934275972,0.723
3,1,433,"positive","no_conflict",0.309256130106529,2.63648789635337,0.498
3,1,512,"negative_familiar","conflict",0.357362639234211,2.70926996097583,0.433
3,1,591,"negative_unfamiliar","no_conflict",0.405469148361894,2.77158748088126,0.512
3,1,510,"positive","no_conflict",0.453575657489576,2.70757017609794,0.591
3,1,509,"positive","no_conflict",0.501682166617258,2.70671778233676,0.51
3,0,581,"negative_rc","conflict",0.54978867574494,2.76417613239033,0.509
3,1,388,"positive","no_conflict",0.597895184872623,2.58883172559421,0.581
3,1,563,"negative_familiar","conflict",0.646001694000305,2.75050839485135,0.388
3,1,434,"negative_unfamiliar","no_conflict",0.694108203127987,2.63748972951251,0.563
3,1,434,"positive","no_conflict",0.74221471225567,2.63748972951251,0.434
3,1,505,"positive","no_conflict",0.790321221383352,2.70329137811866,0.434
3,1,728,"negative_highly_familiar","conflict",0.838427730511034,2.86213137931304,0.505
3,1,551,"negative_familiar","conflict",0.886534239638716,2.74115159885178,0.728
3,1,454,"positive","no_conflict",0.934640748766399,2.6570558528571,0.551
3,0,597,"positive","no_conflict",0.982747257894081,2.77597433112937,0.454
3,1,708,"negative_rc","conflict",1.03085376702176,2.85003325768977,0.597
3,1,500,"positive","no_conflict",1.07896027614945,2.69897000433602,0.708
3,1,747,"negative_rc","conflict",1.12706678527713,2.8733206018154,0.5
3,1,514,"positive","no_conflict",1.17517329440481,2.71096311899528,0.747
3,1,521,"negative_highly_familiar","conflict",1.22327980353249,2.71683772329952,0.514
3,1,400,"positive","no_conflict",1.27138631266017,2.60205999132796,0.521
3,1,679,"negative_highly_familiar","conflict",1.31949282178786,2.8318697742805,0.4
3,1,638,"negative_familiar","conflict",1.36759933091554,2.80482067872116,0.679
3,1,541,"positive","no_conflict",1.41570584004322,2.73319726510657,0.638
3,1,597,"negative_unfamiliar","no_conflict",1.4638123491709,2.77597433112937,0.541
3,0,1180,"positive","no_conflict",1.51191885829859,3.07188200730613,0.597
3,1,467,"negative_rc","conflict",1.56002536742627,2.66931688056611,1.18
3,1,442,"positive","no_conflict",1.60813187655395,2.64542226934909,0.467
3,1,577,"positive","no_conflict",1.65623838568163,2.76117581315573,0.442
3,1,536,"negative_familiar","conflict",1.70434489480932,2.72916478969277,0.577
3,1,656,"negative_unfamiliar","no_conflict",1.752451403937,2.81690383937566,0.536
3,1,638,"positive","no_conflict",1.80055791306468,2.80482067872116,0.656
4,1,599,"negative_unfamiliar","no_conflict",-1.61500423500076,2.77742682238931,0.638
4,1,526,"positive","no_conflict",-1.56689772587308,2.72098574415374,0.599
4,1,590,"negative_rc","conflict",-1.5187912167454,2.77085201164214,0.526
4,1,501,"positive","no_conflict",-1.47068470761772,2.69983772586725,0.59
4,1,668,"negative_highly_familiar","conflict",-1.42257819849003,2.82477646247555,0.501
4,1,667,"positive","no_conflict",-1.37447168936235,2.82412583391655,0.668
4,1,666,"negative_familiar","conflict",-1.32636518023467,2.8234742291703,0.667
4,1,961,"positive","no_conflict",-1.27825867110699,2.98272338766855,0.666
4,1,864,"positive","no_conflict",-1.2301521619793,2.93651374247889,0.961
4,1,591,"negative_rc","conflict",-1.18204565285162,2.77158748088126,0.864
4,1,591,"negative_familiar","conflict",-1.13393914372394,2.77158748088126,0.591
4,1,774,"positive","no_conflict",-1.08583263459626,2.88874096068289,0.591
4,1,669,"positive","no_conflict",-1.03772612546857,2.82542611776782,0.774
4,1,764,"negative_rc","conflict",-0.989619616340893,2.88309335857569,0.669
4,1,627,"negative_highly_familiar","conflict",-0.94151310721321,2.79726754083072,0.764
4,1,626,"positive","no_conflict",-0.893406598085528,2.79657433321043,0.627
4,1,577,"positive","no_conflict",-0.845300088957846,2.76117581315573,0.626
4,1,705,"negative_unfamiliar","no_conflict",-0.797193579830163,2.8481891169914,0.577
4,1,504,"positive","no_conflict",-0.749087070702481,2.70243053644553,0.705
4,1,655,"negative_highly_familiar","conflict",-0.700980561574799,2.81624129999178,0.504
4,1,591,"positive","no_conflict",-0.652874052447117,2.77158748088126,0.655
4,1,630,"negative_familiar","conflict",-0.604767543319434,2.79934054945358,0.591
4,1,565,"negative_unfamiliar","no_conflict",-0.556661034191752,2.75204844781944,0.63
4,1,636,"positive","no_conflict",-0.50855452506407,2.80345711564841,0.565
4,1,700,"negative_highly_familiar","conflict",-0.460448015936387,2.84509804001426,0.636
4,1,547,"positive","no_conflict",-0.412341506808705,2.73798732633343,0.7
4,1,658,"negative_familiar","conflict",-0.364234997681023,2.81822589361396,0.547
4,1,657,"positive","no_conflict",-0.316128488553341,2.81756536955978,0.658
4,1,568,"positive","no_conflict",-0.268021979425658,2.75434833571102,0.657
4,1,623,"negative_rc","conflict",-0.219915470297976,2.79448804665917,0.568
4,1,606,"positive","no_conflict",-0.171808961170294,2.78247262416629,0.623
4,1,805,"negative_highly_familiar","conflict",-0.123702452042611,2.90579588036787,0.606
4,1,525,"positive","no_conflict",-0.0755959429149292,2.72015930340596,0.805
4,1,692,"negative_unfamiliar","no_conflict",-0.0274894337872469,2.84010609445676,0.525
4,1,563,"positive","no_conflict",0.0206170753404354,2.75050839485135,0.692
4,1,618,"negative_unfamiliar","no_conflict",0.0687235844681176,2.79098847508882,0.563
4,1,529,"positive","no_conflict",0.1168300935958,2.72345567203519,0.618
4,1,672,"negative_rc","conflict",0.164936602723482,2.82736927305383,0.529
4,1,647,"negative_highly_familiar","conflict",0.213043111851164,2.8109042806687,0.672
4,0,558,"positive","no_conflict",0.261149620978847,2.74663419893758,0.647
4,1,622,"positive","no_conflict",0.309256130106529,2.79379038469082,0.558
4,1,837,"negative_familiar","conflict",0.357362639234211,2.92272545799326,0.622
4,1,628,"negative_unfamiliar","no_conflict",0.405469148361894,2.7979596437372,0.837
4,1,523,"positive","no_conflict",0.453575657489576,2.71850168886727,0.628
4,1,538,"positive","no_conflict",0.501682166617258,2.73078227566639,0.523
4,1,745,"negative_rc","conflict",0.54978867574494,2.87215627274829,0.538
4,1,584,"positive","no_conflict",0.597895184872623,2.7664128471124,0.745
4,1,720,"negative_familiar","conflict",0.646001694000305,2.85733249643127,0.584
