"subj_idx","response","rt","cond","stim","stim_cond","trial_z","trial","rt_log_trim_grp","prev_rt","block_trial"
84,1,0.354,"SevenGo","Go","Go_SevenGo",-1.11860504892478,43,2.54900326202579,0.382,19
84,1,0.365,"SevenGo","Go","Go_SevenGo",-1.10417143539027,44,2.56229286445647,0.354,20
84,1,0.305,"SevenGo","Go","Go_SevenGo",-1.08973782185575,45,2.48429983934679,0.365,21
84,1,0.348,"SevenGo","Go","Go_SevenGo",-1.07530420832124,46,2.54157924394658,0.305,22
84,1,0.375,"SevenGo","Go","Go_SevenGo",-1.06087059478673,47,2.57403126772772,0.348,23
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",-1.04643698125221,48,0,0.375,24
84,1,0.295,"OneGo","Go","Go_OneGo",-1.0320033677177,49,2.46982201597816,0,5
84,1,0,"OneGo","NoGo","NoGo_OneGo",-1.01756975418319,50,0,0.295,6
84,1,0.349,"FiveGo","Go","Go_FiveGo",-1.00313614064867,51,2.54282542695918,0,13
84,1,0.329,"FiveGo","Go","Go_FiveGo",-0.988702527114159,52,2.51719589794997,0.349,14
84,1,0.348,"FiveGo","Go","Go_FiveGo",-0.974268913579646,53,2.54157924394658,0.329,15
84,1,0.352,"FiveGo","Go","Go_FiveGo",-0.959835300045133,54,2.54654266347813,0.348,16
84,1,0.306,"FiveGo","Go","Go_FiveGo",-0.945401686510619,55,2.48572142648158,0.352,17
84,1,0,"FiveGo","NoGo","NoGo_FiveGo",-0.930968072976106,56,0,0.306,18
84,1,0.402,"ThreeGo","Go","Go_ThreeGo",-0.916534459441593,57,2.60422605308447,0,9
84,1,0.333,"ThreeGo","Go","Go_ThreeGo",-0.902100845907079,58,2.52244423350632,0.402,10
84,1,0.336,"ThreeGo","Go","Go_ThreeGo",-0.887667232372566,59,2.52633927738984,0.333,11
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-0.873233618838053,60,0,0.336,12
84,1,0.352,"SevenGo","Go","Go_SevenGo",-0.85880000530354,61,2.54654266347813,0,25
84,1,0.339,"SevenGo","Go","Go_SevenGo",-0.844366391769026,62,2.53019969820308,0.352,26
84,1,0.359,"SevenGo","Go","Go_SevenGo",-0.829932778234513,63,2.55509444857832,0.339,27
84,1,0.33,"SevenGo","Go","Go_SevenGo",-0.8154991647,64,2.51851393987789,0.359,28
84,1,0.317,"SevenGo","Go","Go_SevenGo",-0.801065551165487,65,2.50105926221775,0.33,29
84,1,0.401,"SevenGo","Go","Go_SevenGo",-0.786631937630973,66,2.60314437262018,0.317,30
84,1,0.316,"SevenGo","Go","Go_SevenGo",-0.77219832409646,67,2.4996870826184,0.401,31
84,1,0,"SevenGo","NoGo","NoGo_SevenGo",-0.757764710561947,68,0,0.316,32
84,1,0.323,"ThreeGo","Go","Go_ThreeGo",-0.743331097027433,69,2.5092025223311,0,13
84,1,0.303,"ThreeGo","Go","Go_ThreeGo",-0.72889748349292,70,2.4814426285023,0.323,14
84,1,0.338,"ThreeGo","Go","Go_ThreeGo",-0.714463869958407,71,2.52891670027765,0.303,15
84,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-0.700030256423894,72,0,0.338,16
84,1,0.297,"OneGo","Go","Go_OneGo",-0.68559664288938,73,2.47275644931721,0,7
