,T_Propriety,T_RareVirtues,T_Deviance,T_BackDeviance,T_NegativeTemperament,T_Detachment,T_SelfHarm,T_Manipulativeness,T_Aggression,T_Dependency,T_LowSelfEsteem,T_Mistrust,T_Entitlement,T_EccentricPerceptions,T_PositiveTemperament,T_Exhibitionism,T_Disinhibition,T_Impulsivity,T_Workaholism,T_SuicideProneness,MPS_alT,MPS_agT,MPS_srT,MPS_wbT,MPS_spT,MPS_acT,MPS_scT,MPS_clT,MPS_haT,MPS_tdT,MPS_abT,MPS_PET,MPS_NET,MPS_COT,MPS_PGT,MPS_PCT,MPS_NGT,MPS_NLT,MPS_uvT,ATQ_ECTotal,ATQ_InhibControl,ATQ_AttControl,ATQ_AttShifting,ATQ_ActControl,zk10,zstai
MPS_abT,0.034768642,-0.0828057323,0.064082625,0.2044740862,0.2345145418,0.0233926945,0.1006955037,0.2374500214,0.2547976466,0.0508430687,0.0031746119,0.2342597847,0.1375783373,0.7003131409,0.22211568,0.2382336459,0.18450664,0.051701389,0.1615067079,0.186031076,0.2730529186,0.234586022,0.3386457484,0.2733374235,0.2688889286,0.0956236013,-0.0800498059,-0.1127673036,-0.0539624774,-0.1369390002,1,0.2614441007,0.3642563782,-0.1340788203,0.237522874,0.1136972773,0.2881048859,0.3134839778,-0.0801852522,-0.1233059071,-0.1891561788,-0.1494713572,0.021219055,-0.0089750964,0.2400000568,-0.0123364063
MPS_PET,0.0430664874,0.0189332125,-0.3605764581,-0.2118189666,-0.1345205536,-0.5924495101,-0.3688330097,-0.0003141082,0.0266982729,-0.2858257904,-0.4248852859,-0.1478599929,0.3961000854,0.1601148936,0.792175837,0.536482592,-0.005032266,0.0072190773,0.2968330825,-0.2201263194,0.0175847617,0.049746446,-0.1290695918,0.7321214904,0.7067985166,0.5904447935,0.4876777972,-0.0074423554,0.1516158686,0.0023278619,0.2614441007,1,0.0727104138,0.0797888525,0.8655679296,0.7725644881,0.00649475,-0.0082672012,0.1435089443,0.3487943753,0.1524388866,0.3260743144,0.4019252528,0.3599914159,-0.1292666442,-0.2484500612
MPS_NET,-0.0053195651,-0.3401031749,0.4177602397,0.5331254203,0.7005149452,0.266847422,0.3999418319,0.5919968949,0.6187537221,0.2414847477,0.3271823644,0.695419883,0.2522971917,0.4955516262,-0.0004352208,0.268152412,0.4829072913,0.2314740096,0.2208672305,0.3877496121,0.8261995783,0.7558342602,0.7553115838,-0.0444668071,0.2117369958,0.0506234727,-0.3231712719,-0.0884851404,0.1044135398,-0.0969712475,0.3642563782,0.0727104138,1,-0.0518331449,0.0969510065,-0.1460636109,0.8368413104,0.8624134308,-0.1695959614,-0.2178002511,-0.293671814,-0.1264182941,-0.0850951759,-0.1626024361,0.597167991,0.4324694038
MPS_COT,0.6218937845,0.3422692594,-0.0955773938,-0.2632479867,0.0183674704,0.1563516938,-0.0918939158,-0.1260755608,-0.161301403,0.0886226519,0.0108154804,0.0159817833,0.2287422602,-0.0511515716,0.0791996539,-0.1940301734,-0.5300940286,-0.6502510264,0.4421287054,-0.1850765204,-0.0233585703,-0.1069724897,0.0079540524,-0.0579302061,-0.0499009695,0.399383821,-0.1465406985,0.8134095723,0.4100173017,0.6564288972,-0.1340788203,0.0797888525,-0.0518331449,1,0.2624905708,-0.1689058849,-0.0754478229,-0.000744604,0.302112213,0.2204842916,0.2150292409,0.0705076995,0.1147721307,0.2686108234,-0.0125588766,0.0335367125
MPS_PGT,0.1863775559,0.1450485676,-0.2638659678,-0.2432140158,-0.0631502355,-0.2884195197,-0.2988422356,-0.0689064772,-0.0002016871,-0.3246513258,-0.3712384936,0.0101763329,0.3947657818,0.184751831,0.7105190001,0.3349759911,-0.207209689,-0.1742105934,0.6198165835,-0.1482387167,0.0667699094,0.0199129986,-0.038192858,0.5777958368,0.5657012445,0.8678228649,0.1091377059,0.2092224122,0.1028377624,0.10184924,0.237522874,0.8655679296,0.0969510065,0.2624905708,1,0.3794959774,0.0080710499,0.0606708032,0.1871527084,0.4648268243,0.2756177741,0.3586321874,0.4466590627,0.4987822596,-0.0391331772,-0.1812862304
MPS_PCT,-0.1744558376,-0.0948840513,-0.4039162834,-0.189623304,-0.2985995575,-0.7849079529,-0.3981263094,-0.0268924723,-0.0317683195,-0.2039666449,-0.4111934929,-0.4212430473,0.2241622961,-0.0032201614,0.6040847846,0.5345959072,0.1558181708,0.200813223,-0.2425218759,-0.2905582151,-0.2061764234,-0.0386151728,-0.3129958871,0.6562146562,0.6117090427,0.0268733501,0.8095866204,-0.2555408875,0.1655259347,-0.1356457044,0.1136972773,0.7725644881,-0.1460636109,-0.1689058849,0.3794959774,1,-0.112624802,-0.2491186488,0.0608758943,0.1434413459,0.0354894401,0.2116465543,0.2420654731,0.0980071125,-0.28196978,-0.3038374833
MPS_NGT,-0.0846076518,-0.2730016919,0.4448174901,0.537843185,0.5243522628,0.1871006147,0.4022361298,0.6217132845,0.7095221459,0.1561445618,0.3287283494,0.4579966764,0.1456293161,0.4326330603,-0.0647802672,0.244062232,0.543426029,0.3045343254,0.0628081788,0.3903433447,0.4695817963,0.933498413,0.5833477619,-0.137001997,0.2473062337,-0.0433933166,-0.2688501298,-0.1521945885,0.110554124,-0.137715901,0.2881048859,0.00649475,0.8368413104,-0.0754478229,0.0080710499,-0.112624802,1,0.4844397342,-0.1661537622,-0.2257862332,-0.2927994423,-0.109001874,-0.0708055717,-0.1954536397,0.5047747036,0.4072888371
MPS_NLT,0.0763730237,-0.2709486471,0.35779784,0.427597646,0.7013751792,0.3518219858,0.3395154219,0.3833360783,0.3744007424,0.2966535466,0.2878262644,0.7388044386,0.2298701012,0.3997919343,-0.0582098271,0.1433565359,0.2839414251,0.0830243269,0.3177942127,0.317917077,0.9301421329,0.3869646591,0.7407129733,-0.0625901153,0.0411088054,0.0784281737,-0.3556126148,0.0261433002,0.0462605791,-0.0225918523,0.3134839778,-0.0082672012,0.8624134308,-0.000744604,0.0606708032,-0.2491186488,0.4844397342,1,-0.1317457096,-0.1951655311,-0.2240441686,-0.1755315764,-0.1417247033,-0.1168224307,0.5455168086,0.362653245
MPS_uvT,0.3806000914,0.5911617271,-0.1845001665,-0.1719003442,-0.0980331422,-0.0438055143,-0.1467812027,-0.2625432676,-0.0775759126,-0.1169508876,-0.0886834115,-0.0778423555,0.1942666783,-0.036393644,0.1734391512,0.01918559,-0.308665081,-0.2798418608,0.2047938762,-0.1773493026,-0.1176079838,-0.1476615673,-0.1663234848,0.1168809409,-0.0652408758,0.2554224237,0.0762089599,0.2145090752,0.0481486853,0.3625898899,-0.0801852522,0.1435089443,-0.1695959614,0.302112213,0.1871527084,0.0608758943,-0.1661537622,-0.1317457096,1,0.3022700191,0.2865862324,0.1689883341,0.1184991422,0.3103637874,-0.0771311244,-0.120803254
ATQ_ECTotal,0.1478131564,0.308213892,-0.2440561869,-0.4633428706,-0.2633414877,-0.1455930551,-0.2844899231,-0.4304284237,-0.1025935901,-0.5006175637,-0.2772011787,-0.1591632682,-0.0011165832,-0.106585416,0.3646062799,-0.0808853641,-0.4569323622,-0.3088902219,0.31914049,-0.2261829586,-0.1650408983,-0.1460563366,-0.312083962,0.1768121562,0.1136403861,0.5094820651,0.1796049075,0.2089180878,0.0960694522,0.1083768638,-0.1233059071,0.3487943753,-0.2178002511,0.2204842916,0.4648268243,0.1434413459,-0.2257862332,-0.1951655311,0.3022700191,1,0.8021950392,0.8526001817,0.7245714197,0.8654396569,-0.2819064907,-0.2973019568
ATQ_InhibControl,0.1226513071,0.3505572996,-0.1647281691,-0.4134562494,-0.267850355,-0.0263831816,-0.2461517643,-0.3895475459,-0.1779007742,-0.4411607797,-0.2064784526,-0.1554874179,-0.0855664492,-0.1670099022,0.2000626786,-0.2773396354,-0.4545243707,-0.3349593991,0.259185704,-0.232946407,-0.2120815442,-0.2371384806,-0.289328719,0.1123587474,-0.0226630464,0.3229256174,0.1023744715,0.255431179,-0.0519526391,0.1966492081,-0.1891561788,0.1524388866,-0.293671814,0.2150292409,0.2756177741,0.0354894401,-0.2927994423,-0.2240441686,0.2865862324,0.8021950392,1,0.5876963862,0.5142655458,0.5454892563,-0.264775906,-0.243344065
ATQ_AttControl,0.0340219457,0.1648963402,-0.2051897611,-0.3209314438,-0.2941571608,-0.2065525974,-0.2711318006,-0.2112394172,0.0025222573,-0.4933993191,-0.2661208285,-0.1603776168,0.0337020546,-0.0815903179,0.3256656324,0.0615742364,-0.2075167262,-0.095352897,0.1257877632,-0.2134021739,-0.0942481062,0.0142645233,-0.3687363253,0.1713344745,0.207468896,0.3210091826,0.1833209232,0.0350320488,0.0954013029,0.0269875144,-0.1494713572,0.3260743144,-0.1264182941,0.0705076995,0.3586321874,0.2116465543,-0.109001874,-0.1755315764,0.1689883341,0.8526001817,0.5876963862,1,0.7178161063,0.5619802727,-0.3061364234,-0.2910715162
ATQ_AttShifting,0.1156234507,0.1103160317,-0.2213593448,-0.3606332323,-0.204090781,-0.2457066593,-0.2185427755,-0.203518128,-0.0073577722,-0.4161028704,-0.184734748,-0.0669461105,0.06175954,-0.0083012515,0.410511985,0.0270134359,-0.198194791,-0.0943029606,0.2352411239,-0.2052386604,-0.0901613551,0.0084444993,-0.2370389909,0.2801101092,0.2012881623,0.3928569071,0.1798097727,0.064910139,0.1328046939,0.0451026036,0.021219055,0.4019252528,-0.0850951759,0.1147721307,0.4466590627,0.2420654731,-0.0708055717,-0.1417247033,0.1184991422,0.7245714197,0.5142655458,0.7178161063,1,0.5833545584,-0.1452051082,-0.2154968239
ATQ_ActControl,0.2057123658,0.2848333204,-0.2340355915,-0.438515025,-0.1300334165,-0.113005973,-0.2095015974,-0.4797798474,-0.1050162125,-0.3491854337,-0.2242440361,-0.0979992754,0.0240558197,-0.0471034577,0.3629915581,-0.0453284209,-0.4971683929,-0.3572816239,0.4020657751,-0.1441169174,-0.1313963135,-0.1693773725,-0.1548565186,0.1542823941,0.0760281976,0.5961161977,0.156287734,0.2485373977,0.1556472355,0.0793090624,-0.0089750964,0.3599914159,-0.1626024361,0.2686108234,0.4987822596,0.0980071125,-0.1954536397,-0.1168224307,0.3103637874,0.8654396569,0.5454892563,0.5619802727,0.5833545584,1,-0.1612063916,-0.221255716
zk10,0.074285519,-0.1332204988,0.4132159607,0.4166647201,0.6348998097,0.2770608647,0.6204408372,0.3450030572,0.2816385701,0.2738348223,0.5685906516,0.4850895699,0.0881789719,0.4524744012,-0.0982498336,0.1304730727,0.2406332446,0.1262363422,0.2772444112,0.5334120473,0.4718398531,0.3796366883,0.681211579,-0.227914607,0.0224940471,0.0348109103,-0.3231041856,-0.1117020865,0.1078826922,0.0196174088,0.2400000568,-0.1292666442,0.597167991,-0.0125588766,-0.0391331772,-0.28196978,0.5047747036,0.5455168086,-0.0771311244,-0.2819064907,-0.264775906,-0.3061364234,-0.1452051082,-0.1612063916,1,0.636775621
zstai,0.0164465257,-0.0246754905,0.402385552,0.3839767691,0.5959851918,0.304057409,0.5549274604,0.2934336636,0.2555951927,0.3559168343,0.5626383043,0.3375700752,0.0028364582,0.1574671064,-0.2211145589,-0.0217771765,0.2055616517,0.1316186997,0.1333902457,0.4167171845,0.2598180715,0.2805060311,0.5599410662,-0.367323281,-0.0877441266,-0.0526060811,-0.2033857419,-0.0657693894,0.0964550021,0.0295622706,-0.0123364063,-0.2484500612,0.4324694038,0.0335367125,-0.1812862304,-0.3038374833,0.4072888371,0.362653245,-0.120803254,-0.2973019568,-0.243344065,-0.2910715162,-0.2154968239,-0.221255716,0.636775621,1
