"","id","task","beta_contrast","MAP","se","CI_low","CI_high","pd","parameter"
"30","24","flanker","intercept",0.56945151365861,0.000770968798173146,0.499026871222121,0.686810750153304,1,"a"
"31","25","flanker","intercept",0.609824155844842,0.00169180920994248,0.492399438924214,0.789765514531867,1,"a"
"32","26","flanker","intercept",0.837856576140805,0.00161675384687085,0.712688312918622,1.02695892102423,1,"a"
"33","27","flanker","intercept",1.09746053811177,0.00259867036742169,0.902569695062353,1.3254758729823,1,"a"
"34","28","flanker","intercept",0.701007133293158,0.000745847110973838,0.618177595034007,0.808915886070554,1,"a"
"35","29","flanker","intercept",0.910737746854711,0.00212432356474597,0.756892483810427,1.12006155767426,1,"a"
"36","3","flanker","intercept",0.852406489071075,0.00125307868068542,0.741448114445534,1.01500310260014,1,"a"
"37","30","flanker","intercept",1.62882736226401,0.00561947870581273,1.26977966658308,1.98933966732905,1,"a"
"38","31","flanker","intercept",0.520644567781479,0.000820963469775987,0.434472006268566,0.617355667541379,1,"a"
"39","32","flanker","intercept",0.869540021932586,0.000961622003159666,0.765812507030309,0.999003033635222,1,"a"
"40","33","flanker","intercept",0.894899448157928,0.00145902647351909,0.758263223630493,1.06474276342567,1,"a"
"41","34","flanker","intercept",0.783771830719483,0.00156837375731632,0.660862804086283,0.975663366312409,1,"a"
"42","35","flanker","intercept",0.629084483665902,0.00110400188566549,0.530802153507153,0.769548625653336,1,"a"
"43","36","flanker","intercept",0.65216606957383,0.000517895309325382,0.588149243563008,0.737997307943485,1,"a"
"44","37","flanker","intercept",0.814161057776883,0.00160299582217714,0.671037599167444,0.975932630752645,1,"a"
"45","4","flanker","intercept",0.512625733652206,0.00111358205420055,0.407795431426126,0.654681314512736,1,"a"
"46","40","flanker","intercept",0.775759061001006,0.000959872555847035,0.672947046689091,0.909155146739785,1,"a"
"47","41","flanker","intercept",0.832625318822998,0.00136175414759978,0.702942450921322,0.99004979375105,1,"a"
"48","42","flanker","intercept",0.843488248894316,0.00108114719300964,0.735671039547853,0.989200373837149,1,"a"
"49","43","flanker","intercept",1.0096567498729,0.00256763625649689,0.821243642483103,1.2426456448122,1,"a"
"50","45","flanker","intercept",1.11831685672868,0.00146988061603456,0.964251581303392,1.29405187177722,1,"a"
"51","46","flanker","intercept",0.968980309297247,0.00154981019412629,0.835190158278542,1.15024376370477,1,"a"
"52","49","flanker","intercept",0.912758768215775,0.00179364868979972,0.776286048948254,1.1108998787942,1,"a"
"53","5","flanker","intercept",1.0327651796008,0.00577886189753153,0.786091847259135,1.42434881728001,1,"a"
"54","50","flanker","intercept",0.741746020563834,0.00112789772609199,0.631311635054647,0.877290200256315,1,"a"
"55","52","flanker","intercept",1.47290656036829,0.0157157037328397,1.02217738924904,2.10826013515582,1,"a"
"56","53","flanker","intercept",1.03363565694435,0.00206784633858191,0.872134264807049,1.23997806692803,1,"a"
"57","54","flanker","intercept",0.91893245967461,0.0027907176654613,0.750305743174981,1.19832931462726,1,"a"
"58","56","flanker","intercept",0.826672491261587,0.001579408852143,0.694360632172241,1.00492687954085,1,"a"
"59","57","flanker","intercept",0.793028805828326,0.000619448890605296,0.702383924990012,0.885656346475465,1,"a"
"60","58","flanker","intercept",1.01195688259091,0.00200894578139685,0.851918428139341,1.23403614154633,1,"a"
"61","59","flanker","intercept",0.71296895646581,0.00116249754243698,0.606096438452116,0.863929440329227,1,"a"
"62","6","flanker","intercept",1.10622491610628,0.0040906635902643,0.87913313825944,1.42935233311142,1,"a"
"63","60","flanker","intercept",0.668723245014673,0.000744625857024292,0.583800221902122,0.773126963003061,1,"a"
"64","61","flanker","intercept",0.758525092750718,0.00181229517659662,0.608985995128036,0.947235843961907,1,"a"
"65","62","flanker","intercept",1.05600572516135,0.000673057671963293,0.951723137270411,1.16935021999379,1,"a"
"66","63","flanker","intercept",0.672126769421637,0.00159950564338829,0.53864765501915,0.843636413796998,1,"a"
"67","64","flanker","intercept",0.99211835313788,0.00311550710399736,0.807909842190038,1.26497376548647,1,"a"
"68","65","flanker","intercept",1.11648764526458,0.000956267859642223,0.994786242539714,1.25788237779547,1,"a"
"69","66","flanker","intercept",2.12756195646885,0.0140119681440398,1.62161227947559,2.76255953156636,1,"a"
"70","67","flanker","intercept",0.598302514245229,0.000746138038237437,0.515064940810129,0.698321046689077,1,"a"
"71","68","flanker","intercept",0.966915125862059,0.00276393099061904,0.783073708110889,1.21031726282642,1,"a"
"72","69","flanker","intercept",1.26072784085049,0.00309431926956502,1.0703084242968,1.5631297879707,1,"a"
"73","70","flanker","intercept",0.699584496711215,0.00117233655062197,0.578538873131676,0.839670171074268,1,"a"
"74","71","flanker","intercept",0.535223443512779,0.000551121136055873,0.459485117175828,0.616702298971997,1,"a"
"75","72","flanker","intercept",1.04396254716734,0.00190154976446101,0.888617053826551,1.2646846423681,1,"a"
"76","73","flanker","intercept",0.822408739200632,0.00202234551524238,0.660354423912233,1.01563712846183,1,"a"
"77","74","flanker","intercept",0.673053216456244,0.00123435287449241,0.572982400958615,0.83275797943991,1,"a"
"78","75","flanker","intercept",1.39694353383789,0.00369952005274003,1.17751076817469,1.71968198104275,1,"a"
"79","76","flanker","intercept",0.846672661000161,0.00133537190433258,0.728938733610701,1.01881458412352,1,"a"
"80","77","flanker","intercept",0.70311188508956,0.000591329321494557,0.625830741687316,0.791371415990382,1,"a"
"81","78","flanker","intercept",1.07996442393152,0.00257602560331198,0.90321752642261,1.31783971319035,1,"a"
"82","79","flanker","intercept",0.621008406670864,0.000987377583038259,0.519357349141162,0.749134727715964,1,"a"
"83","8","flanker","intercept",1.08023801459589,0.00161551722564335,0.922187282562535,1.25663856930719,1,"a"
"84","81","flanker","intercept",1.36564309223455,0.0048627677922324,1.11252830329803,1.73327942055335,1,"a"
"85","84","flanker","intercept",0.701067642262803,0.0016936157122243,0.581348543797784,0.891818016729761,1,"a"
"86","86","flanker","intercept",1.56234797702639,0.0135608985124209,1.13953922891965,2.25660680248509,1,"a"
"87","87","flanker","intercept",0.91518874545338,0.00117874816420929,0.792072249357152,1.05598151732446,1,"a"
"88","88","flanker","intercept",0.757822252404683,0.000756656367003387,0.66619420710723,0.87083940925664,1,"a"
"89","89","flanker","intercept",1.2468324572203,0.0020088076862124,1.06981052212563,1.45441359924114,1,"a"
"90","9","flanker","intercept",0.705440343424604,0.00225939950768434,0.544081160229548,0.915551219423378,1,"a"
"91","90","flanker","intercept",2.1954823287188,0.0128622016604856,1.68833933784642,2.82550268687717,1,"a"
"92","91","flanker","intercept",0.97595904324786,0.00614689041895382,0.732787929279209,1.38719025821201,1,"a"
