date	time	subject	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	windowcenter	trialduration	trialtimeout	blocktimeout	response	correct	latency	inwindow	stimulusnumber1	stimulusitem1	stimulusvpos1	stimulushpos1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusvpos2	stimulushpos2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusvpos3	stimulushpos3	stimulusonset3	stimulusnumber4	stimulusitem4	stimulusvpos4	stimulushpos4	stimulusonset4	stimulusnumber5	stimulusitem5	stimulusvpos5	stimulushpos5	stimulusonset5	stimulusnumber6	stimulusitem6	stimulusvpos6	stimulushpos6	stimulusonset6	
081707	17:11	1	2.0.61004.5	1	30	congruent	incongruentright	0	0	0	0	1500	1500	23	1	639	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	31	congruent	incongruentleft	0	0	0	0	1500	1500	18	1	429	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	32	congruent	incongruentleft	0	0	0	0	1500	1500	18	1	445	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	33	congruent	congruentleft	0	0	0	0	1500	1500	18	1	410	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	533	1	leftarrow.jpg	50	41.9921875	533	1	leftarrow.jpg	50	50	533	1	leftarrow.jpg	50	58.0078125	533	1	leftarrow.jpg	50	66.015625	533	
081707	17:11	1	2.0.61004.5	1	34	congruent	congruentright	0	0	0	0	1500	1500	23	1	332	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	35	congruent	congruentleft	0	0	0	0	1500	1500	18	1	518	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	36	congruent	congruentleft	0	0	0	0	1500	1500	18	1	411	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	37	congruent	congruentleft	0	0	0	0	1500	1500	18	1	417	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	527	1	leftarrow.jpg	50	41.9921875	527	1	leftarrow.jpg	50	50	527	1	leftarrow.jpg	50	58.0078125	527	1	leftarrow.jpg	50	66.015625	527	
081707	17:11	1	2.0.61004.5	1	38	congruent	incongruentright	0	0	0	0	1500	1500	23	1	375	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	39	congruent	congruentleft	0	0	0	0	1500	1500	18	1	391	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
